,Provider Name,Complete Address,Contact No.
156,DLSU - DR RODOLFO POBLETE MEMORIAL HOSPITAL,BURGOS ST. BRGY. I ALFONSO CAVITE,(046) 415-0190
157,DR. UY HOSPITAL INC.,19 ROXAS AVE.  ILIGAN CITY LANAO DEL NORTE,(063) 881-3414/(063) 881-3626/(063) 881-2621
158,DR. VICTOR R. POTENCIANO MEDICAL CENTER,163 EDSA  MANDALUYONG CITY METRO MANILA,(02) 8531-4911/8932-1764/8932-8899
159,"DRUGCHECK PHILIPPINES, INC.","3RD FLOOR NEW ROSARIO COMMERCIAL ARCADE, ORTIGAS AVENUE EXTENSION ORTIGAS PASIG CITY METRO MANILA",(02) 900-1201/(02) 900-1202
160,CONTRERAS MEDICAL CLINIC & HOSPITAL,GENERAL TRIAS DRIVE  ROSARIO CAVITE,(046) 438-1985
161,EAST ASIA ORTHOPEDIC & REHABILITATION INSTITUTE INC.,"G/F ONCOLOGY BLDG., DAVAO DOCTORS HOSPITAL, 118 E QUIRINO AVENUE  DAVAO CITY DAVAO DEL SUR",(082) 227-5977
162,OUR LADY OF LOURDES HOSPITAL - STA. MESA,46 P. SANCHEZ ST. STA. MESA MANILA METRO MANILA,(02) 8716-8001 / 8716-3901 LOC 1425
163,EASTERN PANGASINAN MULTI-SPECIALTY CLINIC AND DIAGNOSTIC CENTER,"MCARTHUR HIGHWAY, CARMEN WEST   ROSALES PANGASINAN",(075) 696-9527/(075) 560-2722
164,EASTGATE MOBILE X-RAY AND DIAGNOSTIC CENTER,FGH BLDG. PELAYO STREET  DAVAO CITY DAVAO DEL SUR,(082) 301-7293
165,ENT PRODUCT & HEARING CENTER CORPORATION,"M-03 CEBU LONG SE TEMPLE, OSMEÃ‘A BLVD., CORNER JASMINE ST.  CEBU CITY CEBU",(032) 254-2029/(032) 412-4537
166,ESTELA MEDICAL CLINIC & PHARMACY,"FDR ROAD NO.2,  SANTO TOMAS DAVAO DEL NORTE",(084) 829-0054
167,ESTEVEZ MEMORIAL HOSPITAL INC.,"DON JUAN ESTEVEZ ST., GUEVARRA SUBD.  LEGAZPI CITY ALBAY",(052) 480-4021 / 435-5839 / 480-2135
168,ESTHER HOSPITAL,"PUROK 2, SAYRE HIGHWAY  VALENCIA CITY BUKIDNON",(088) 828-4444
169,EVANGELISTA MEDICAL SPECIALTY HOSPITAL INC.,"SAN VICENTE, MACARIA AVE. COR JP RIZAL STS., PACITA COMPLEX I  SAN PEDRO LAGUNA",(049) 869-1772
170,FATIMA UNIVERSITY MEDICAL CENTER CORP,120 MCARTHUR HIGHWAY  VALENZUELA CITY METRO MANILA,(02) 8361-5995/8293-2704/8291-6644
171,FERRANCULLO DIAGNOSTIC LABORATORY,"PANABO DOCTORâ€™S BLDG., QUEZON STREET BRGY. NEW PANDAN PANABO CITY DAVAO DEL NORTE",(084) 628-6743/(084) 628-8461
172,FEU NRMF DIAGNOSTIC IMAGING CENTER,"REGALADO AVE., WEST FAIRVIEW FAIRVIEW QUEZON CITY METRO MANILA",(02) 8427-0213/8983-8338
173,FEU-NRMF MEDICAL CENTER,"REGALADO AVE., WEST FAIRVIEW FAIRVIEW QUEZON CITY METRO MANILA",(02) 3427-0213
174,FIRST FILIPINO SAINT HOSPITAL (FORMERLY SAN LORENZO RUIZ HOSPITAL),GOVERNOR'S DRIVE BRGY. SAN ROQUE NAIC CAVITE,(046) 412-1411 / 412-1763 / 412-2298
175,FORTMED MEDICAL CLINICS (MAKATI BRANCH),3RD FLOOR CROWN CENTER BLDG 158 JUPITER STREET BRGY. BEL-AIR MAKATI CITY METRO MANILA,(02) 8897-9111 TO 19
176,FORTMED MEDICAL CLINICS (LAGUNA BRANCH),FORTMED BLDG UNITED BLVD STA ROSA BUSINESS PARK GREENFIELD  CITY BRGY DON JOSE SANTA ROSA CITY LAGUNA,(049) 541-1981 LOC 114 TO 115 / (02) 8584-4381 / 8
177,FRIENDLYCARE (CUBAO BRANCH),2/F METROLANE P. TUAZON ST. COR 20TH AVE. CUBAO QUEZON CITY METRO MANILA,(02) 8421-1660 / 8421-1678
178,FRIENDLYCARE (MASINAG BRANCH),"G/F SILICONE BLDG., 168 SUMULONG HI-WAY BRGY. MAYAMOT ANTIPOLO CITY RIZAL",(02) 8682-5181 / 8682-3015 / 8681-8144
179,FRIENDLYCARE FOUNDATION INC. (DAVAO BRANCH),"G/F  SPCRDC BLDG.  123 A, PICHON STREET MAGALLANES DAVAO CITY DAVAO DEL SUR",(082) 222-7970/(082) 227-4247)
180,GARCIA GENERAL HOSPITAL,"# 49 BAYAN-BAYANAN AVE., CORNER P. BUGALLON ST. BRGY. CONCEPCION MARIKINA CITY METRO MANILA",(02) 8941-5511/8942-4705/8948-4014
181,"GENERAL MIGUEL MALVAR MEDICAL RESEARCH FOUNDATION, INC",531 COMMONWEALTH AVE.  QUEZON CITY METRO MANILA,(02) 8932-7267/8932-8867/8932-8517
182,GENERAL SANTOS DOCTORS HOSPITAL,NATIONAL HIGHWAY  GENERAL SANTOS CITY  COTABATO,(083) 250-2777 LOC 2888 OR 3108 ; 553-3890/(083) 5
183,GERTES CLINIC & HOSPITAL,BRGY. 15  SAN NICOLAS ILOCOS NORTE,(077) 670-6438
184,GINGOOG SANITARIUM & HOSPITAL INC.,C BAGAIPO ST. BRGY. 22 GINGOOG CITY MISAMIS ORIENTAL,(088) 816-0234
185,"GOLDEN GATE BATANGAS HOSPITAL, INC",17 P. PRIETO ST.  BATANGAS CITY BATANGAS,(043) 723-0974/(043) 723-3011
186,"JOSE J. GOLINGAY GENERAL HOSPITAL, INC. (FORMERLY GOLINGAY GENERAL HOSPITAL)",COLONGAN DRIVE POBLACION MALALAG DAVAO DEL SUR,(082) 276-0003
187,NUEVA ECIJA MEDICAL CENTER INC (FORMERLY GONZALES GENERAL HOSPITAL),SAN ANTON  SAN LEONARDO NUEVA ECIJA,(044) 604-1314 / 806-0316
188,GONZALES MARANAN MEDICAL CENTER INC.,QUEZON AVENUE  DIGOS CITY DAVAO DEL SUR,(082) 553-2474
189,GONZALES MEDICAL AND CHILDRENâ€™S HOSPITAL INC,50 SIXTO CASTILLO ST. BRGY. 5 TANAUAN CITY BATANGAS,(043)778-1218;786-2196;778-7152;(0933)819-4702
190,GOOD NEWS CLINIC & HOSPITAL,"BANAUE, BONDOC  BANAUE IFUGAO",(074) 386-4045/(074) 386-4092
191,"GOOD SHEPERD LABORATORY & HEALTH DIAGNOSTICS SERVICES, INC.","UNIT A, G/F J & F BUILDING, 19 BAYAN-BAYANAN AVE. BRGY. CONCEPCION I MARIKINA CITY METRO MANILA",(02) 490-7413/(02) 948-7593/(02) 941-0173
192,GRACE MEMORIAL HOSPITAL FOUNDATION,003 BOROL 2ND  BALAGTAS (BIGAA) BULACAN,(044) 815-7217/(044) 693-5782
193,GREEN PASTURE SPECIALISTS CLINIC & PHARMACY,"BLOCK 5 LOT 31 PHASE IV, GOLD AVENUE, GOLDEN CITY SUBDIVISION BRGY. DILA SANTA ROSA CITY LAGUNA",(049) 304-5920
194,GREG HOSPITAL,GENERAL LUNA COR DALITIWAN ST.  SARIAYA QUEZON,(042) 525-8487/(042) 651-1162
195,GUIMBA GENERAL HOSPITAL,"SANSANO CORNER BAGAIN ST., STA. VERONICA DISTRICT  GUIMBA NUEVA ECIJA",(044) 611-1416/(044) 611-0386/(044) 611-0699/(044) 943-0567
196,HEALTH ALERT DIAGNOSTIC CLINIC,"UNIT B & C, 158 WEST AVE., PHILAM HOMES  QUEZON CITY METRO MANILA",(02) 3413-5028
197,HEALTH TRENDS MEDICAL CLINIC & DIAGNOSTIC CENTER,HOBBIES OF ASIA #8 PRES MACAPAGAL AVENUE BRGY. 076 PASAY CITY METRO MANILA,(02) 8556-1270
198,HEALTHWISE DIAGNOSTIC LAB,1417-B RICHTOWN TOWER MAYHALIGUE ST. STA. CRUZ MANILA METRO MANILA,(02) 8251-2079/8254-4861
199,HEALTHCHECK CLINIC & DIAGNOSTIC CENTER INC.,UNO BLDG. A. VELEZ STREET  CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 852-1096
200,HEALTHLAB AND MEDICAL SERVICES INC (MAKATI BRANCH),"UNIT 1601 & 1609 MEDICAL PLAZA BLDG, AMORSOLO COR DELA ROSA ST.  MAKATI CITY METRO MANILA",(02) 8867-1140 / 8844-3703
201,HEALTHLINK INC.,# 12 MABINI STREET BRGY. SAN AGUSTIN ILOILO CITY ILOILO,(033) 336-4098/(033) 508-2691
202,TOP LAB MD CORPORATION,2/F BBCCC BUILDING 2 ASSUMPTION ROAD KABAYANIHAN BAGUIO CITY BENGUET,(074) 447-0092
203,"HEALTHPLUS DIAGNOSTIC SPECIALISTS, INC.","272 BONIFACIO ST, POBLACION DISTRICT  DAVAO CITY DAVAO DEL SUR",(082) 227-1192 ; 322-5657
204,HEALTHSERV LOS BANOS MEDICAL CENTER,8817 NATIONAL HIGHWAY BATONG MALAKE LOS BAÃ‘OS LAGUNA,(049) 536-4858
205,BROOKSIDE MEDICAL AND DIAGNOSTIC CENTER (FORMERLY HEALTHSERV MEDICAL AND DIAGNOSTIC SERVICES),"2ND FLOOR, RUBLOU MARKET PLACE, BROOKSIDE HILLS SUBDIVISION  CAINTA RIZAL",(02) 8248-2158/7213-9281
206,HEALTHSHIELD DIAGNOSTIC & MEDICAL CLINIC,92 & 94 MAYON ST COR CUENCO ST  QUEZON CITY METRO MANILA,(02) 516-1772
207,HEALTH STAT DIAGNOSTIC AND MEDICAL CLINIC,"83 UNIT 15/16 MARIKINA EAST CENTRE, GIL FERNANDO AVE BRGY. SAN ROQUE MARIKINA CITY METRO MANILA",(02) 8935-4310/8682-3480
208,HEALTHWAY MEDICAL CLINIC (MANILA BRANCH),G/F 8 ADRIATICO TOWER PADRE FAURA COR J BOCOBO ST. ERMITA MANILA METRO MANILA,(02) 7751-4929
209,HEALTHWAY MEDICAL CLINIC (SHANGRI-LA PLAZA MALL BRANCH),5TH LEVEL WELLNESS ZONE SHANGRI LA PLAZA SHAW BOULEVARD MANDALUYONG CITY METRO MANILA,(02) 7751-4929
210,HEALTHWAY MEDICAL CLINIC (ALABANG TOWN CENTER BRANCH),2ND FLOOR ALABANG TOWN CENTER ALABANG ZAPOTE ROAD ALABANG MUNTINLUPA METRO MANILA,(02) 7720-6102 / 8772-3527
211,HEALTHWAY MEDICAL CLINIC (FESTIVAL MALL BRANCH),2ND FLR PIXIE FOREST ENTRANCE FESTIVAL SUPERMALL FILINVEST CORP CITY ALABANG MUNTINLUPA METRO MANILA,(02) 7720-6104
212,HEALTHWAY MEDICAL CLINIC (GREENBELT 5 BRANCH),"4TH LEVEL, GREENBELT 5, AYALA CENTER  MAKATI CITY METRO MANILA",(02) 720-6109
213,HEALTHWAY MEDICAL CLINIC (MARKET MARKET BRANCH),"4L MARKET MARKET, GLOBAL BONIFACIO CITY  TAGUIG CITY METRO MANILA",(02) 7720-6114
214,HEALTHWAY MEDICAL CLINIC (SM THE BLOCK BRANCH),"5TH LEVEL THE BLOCK, SM CITY NORTH EDSA  QUEZON CITY METRO MANILA",(02) 7720-6107
215,HEART & LUNG DIAGNOSTIC CLINIC INC,112 KALAYAAN AVE. DILIMAN QUEZON CITY METRO MANILA,(02) 3433-0037
216,HEART OF JESUS HOSPITAL,"SOBREPEÃ‘A DRIVE, MAHARLIKA ROAD  BRGY. RAFAEL RUEDA SAN JOSE CITY NUEVA ECIJA",(044) 511-1282/(044) 947-1703/(044) 511-2256
217,HEARTLAND MEDICAL & DIAGNOSTIC CENTER,1853 LEON GUINTO STREET  MANILA METRO MANILA,(02) 8-3711688; 5310-1800
218,HEMATECH DIAGNOSTIC CENTER,"UNIT A & G RBL BUILDING, MCARTHUR HIGHWAY, QUEBIAWAN  SAN FERNANDO CITY PAMPANGA",(045) 435-2263/(045) 435-2944
219,HI-PRECISION DIAGNOSTICS (ANGELES CITY BRANCH),MC ARTHUR HI-WAY CORNER ANGELES MAGALANG ROAD STO CRISTO ANGELES CITY PAMPANGA,(045) 322-2211/624-6227
220,HI-PRECISION DIAGNOSTICS (EAST AVENUE BRANCH),18 EAST AVENUE BRGY. PINYAHAN  QUEZON CITY METRO MANILA,(02) 3435-8228/3436-1097
221,HI-PRECISION DIAGNOSTICS (SUCAT BRANCH),"UNIT A-4B JAKA PLAZA MALL, 8288 DR. A SANTOS AVENUE SAN ANTONIO PARAÃ‘AQUE METRO MANILA",(02) 8741-7777
222,HI-PRECISION DIAGNOSTICS (MANDAUE BRANCH),"DIAMOND PLAZA, BLDG. II, MC BRIONES, NATIONAL HIGHWAY  MANDAUE CITY CEBU",(032) 238-8600
223,HI-PRECISION DIAGNOSTICS (MEDALLE BRANCH),"GF MEDALLE BLDG., OSMENA BLVD.  CEBU CITY CEBU",(032) 255-4131/(032) 255-4133
224,HI-PRECISION DIAGNOSTICS (TABUNOK BRANCH),SOUTH NATIONAL HIGHWAY TABUNOK TALISAY CITY CEBU,(032) 236-6277
225,HI-PRECISION DIAGNOSTICS (WES BRANCH),WES BLDG. 28 J. LLORENTE STREET  CEBU CITY CEBU,(032) 256-0151
226,HI-PRECISION DIAGNOSTICS (KALAW BRANCH),"RM 102 103 & 203 G/F SAN LUIS TERRACES, 638 T.M. KALAW ST. BRGY 666 ZONE 072 ER MANILA METRO MANILA",(02) 8404-1441 / 8405-0151
227,HI-PRECISION DIAGNOSTICS (LAS PINAS BRANCH),"LOT 2-D1 TO 3, ALABANG-ZAPOTE RD., TALON DOS  LAS PIÃ‘AS CITY METRO MANILA",(02) 800-6824 TO 25 /8800-6818  LOC 120
228,HI-PRECISION DIAGNOSTICS PLUS (ROCKWELL BRANCH),R3 LEVEL 324A ROCKWELL POWER PLANT MALL BRGY. POBLACION MAKATI CITY METRO MANILA,(02) 8478-0377/8404-8120
229,HI-PRECISION DIAGNOSTICS (DEL MONTE BRANCH - MAIN),"W LONG BLDG 440-442 DEL MONTE AVE, COR. BIAK-NA-BATO BRGY. SIENNA QUEZON CITY METRO MANILA","(02) 8741-7777 / 8863-9999 LOC 104, 105, 108"
230,HI-PRECISION DIAGNOSTICS (RETIRO BRANCH),"674 N.S. AMORANTO SR. AVE., BIAK NA BATO BRGY. STO. DOMINGO QUEZON CITY METRO MANILA",(02) 8743-1730/3415-2622 - FOR COVID19 RTPCR/ RAPI
231,HOLY CHILD HOSPITAL,BISHOP EPIFANIO SURBAN STREET  DUMAGUETE CITY NEGROS ORIENTAL,(035) 225-0510/(035) 422-6021
232,HOLY FAMILY MEDICAL CENTER INC.,"179 STO. ENTIERRO ST., STO. CRISTO  ANGELES CITY PAMPANGA",(045) 322-3623/(045) 888-6620
233,HOLY INFANT HOSPITAL OF TUGUEGARAO INC.,54 WASHINGTON ST.  TUGUEGARAO CITY CAGAYAN,(078) 844-1039/(078) 814-2674; (0917)590-9178
234,HOLY ROSARY HOSPITAL,SAN ISIDRO ST. BRGY. TALOLONG  LOPEZ QUEZON,(042) 302-5255
235,HOLY SPIRIT COMMUNITY HOSPITAL OF DAVAO INC.,DAVAO-BUKIDNON HIGHWAY  DAVAO CITY DAVAO DEL SUR,(082) 293-0236
236,HOLY TRINITY HOSPITAL,505 QUEZON ST.  SAN MIGUEL TARLAC,(045) 985-0446/(045) 985-0510/(045) 985-1529
237,HOSPITAL OF THE HOLY CROSS,  CALAPAN ORIENTAL MINDORO,(043) 288-4470/(043) 288-5854
238,ADVENTIST HOSPITAL - CEBU INC. (FORMERLY H.W. MILLER MEMORIAL SANITARIUM & HOSPITAL),400 TRES DE ABRIL ST. BGRY. SAN NICOLAS CEBU CITY CEBU,(032) 261-1974/(032) 261-2100/(032) 418-6478
239,IBALONG MEDICAL CENTER,"UNIT 3F BICOL MEDICAL PLAZA, RIZAL ST.  LEGAZPI CITY ALBAY",(0917) 570-2551
240,HEALTHMAX MEDICAL AND DIAGNOSTIC CENTER OPC (FORMERLY IHADS),"796 QUIRINO AVENUE, NEAR LRT QUIRINO STATION. BESIDE ANDOKS AND ZIGO BAR  MANILA METRO MANILA",(02) 7257-0682
241,ILAYA MEDICAL CLINIC,"ILAYA MEDICAL BUILDING, J.P. LAUREL ST. SAN JOSE  BALANGA CITY BATAAN",(047) 791-1639
242,ILIGAN MEDICAL CENTER HOSPITAL,"SAN MIGUEL VILLAGE, PALA-O  ILIGAN CITY LANAO DEL NORTE",(063) 221-4661
243,"ILOILO DOCTORS HOSPITAL, INC.",WEST AVENUE BRGY. TAAL MOLO ILOILO CITY ILOILO,(033) 337-7702/(033) 337-8646
244,IMMACULATE CONCEPTION LYING IN & MULTI SPECIALTY CLINIC INC.,233 DR. PILAPIL ST. BRGY. SAN MIGUEL PASIG CITY METRO MANILA,(02) 8641-4939
245,IMUS FAMILY HOSPITAL,JUSTINEVILLE SUBD. BRGY. PALICO IMUS CAVITE,(046) 970-6768
246,INTEGRA CARE PHYSICAL THERAPY SERVICES,16 MARCOS ALVAREZ AVENUE BRGY. TALON SINGCO LAS PIÃ‘AS CITY METRO MANILA,(02) 872-3383
247,ISAAC T. ROBILLO MEMORIAL HOSPITAL,KM 26 DAVAO - BUKIDNON ROAD CALINAN DISTRICT DAVAO CITY DAVAO DEL SUR,(082) 295-0200
248,JAHNNA MATERNITY & LYING IN CLINIC,53 SAN AGUSTIN 3   DASMARIÃ‘AS CAVITE,(046) 416-0531
249,JAIME B. BERCES MEMORIAL HOSPITAL,"DEMETRIOU ST., QUINOLA  TABACO CITY ALBAY",(0977) 057-6808 / (0956) 197-8999
250,JAR MEDICAL NETWORKERS & MOBILE DIAGNOSTIC SERVICES (MEDNET),"RIZAL STREET, PETTIT BARRACKS  ZAMBOANGA CITY ZAMBOANGA DEL SUR",(062) 992-0557
251,JECSONSâ€™ MEDICAL CENTER,MC ARTHUR HIGHWAY SAN NICOLAS TARLAC TARLAC,(045) 982-5501 / 982-0379
252,JESUS IMMACULATE CONCEPCION HOSPITAL,KATIPUNAN AVE.  BRGY. STO. NINO MARIKINA CITY METRO MANILA,(02) 8941-9362
253,JESUS OF NAZARETH GENERAL HOSPITAL,19 MCARTHUR HIGHWAY BRGY. POBLACION GUIGUINTO BULACAN,(044) 794-1202/(044) 896-1291
254,"KAGAY-AN KIDNEY CENTER, INC.","ARCHBISHOP HAYES STREET, PINIKITAN CAMAMAN-AN CAGAYAN D CAGAYAN DE ORO CITY MISAMIS ORIENTAL",(088) 857-8855
255,KIDAPAWAN DOCTORS HOSPITAL INC.,QUEZON BOULEVARD  KIDAPAWAN CITY COTABATO,(064) 278-4478 TO 81
256,"KIDAPAWAN MEDICAL SPECIALISTS CENTER, INC.","PLARIDEL ST., SUDAPIN  KIDAPAWAN CITY COTABATO",(064) 577-1762
258,KOBE CLINIC AND DIALYSIS CENTER,"UNIT 2068 & 2069 B.2,2ND LEVEL, FESTIVAL SUPERMALL  MUNTINLUPA METRO MANILA",(02) 8842-5405 / 8842-6138
259,LC DIAGNOSTIC CENTER,230 B MERCHAN ST. BRGY. 9 LUCENA CITY QUEZON,(042) 710-6215
260,LA VIE DIALYSIS CENTER,"G/F FTC TOWER, 1034 MT. APO ST.  DAVAO CITY DAVAO DEL SUR",(082) 300-3754
261,LA VINA GENERAL HOSPITAL,M L QUEZON ST. POBLACION VALENCIA CITY BUKIDNON,(088) 222-2110
262,LAGUNA HOLY FAMILY HOSPITAL INC.,1824 J. DE LEON ST.  SANTA CRUZ LAGUNA,(049) 501-1278 / 1279 / 523-3567
263,LAGUNA INDUSTRIAL CLINIC (PULONG STA. CRUZ BRANCH),NATIONAL ROAD BRGY. PULONG STA. CR SANTA ROSA CITY LAGUNA,(049) 502-4671/(049) 502-4681
264,LAGUNA INDUSTRIAL CLINIC (PACIANO BRANCH),"NATIONAL ROAD, PACIANO RIZAL  CALAMBA CITY LAGUNA",(049) 502-4072/(049) 508-0847
265,LAKAMBINI DIAGNOSTIC CENTER CORPORATION,"1991 UNITS E & F, WARDLEY BUILDING, TAFT AVENUE  PASAY CITY METRO MANILA",(02) 8400-6266
266,LARIOSA CLINIC AND HOSPITAL INC.,"DIEGO SILANG ST. ZONE 1, BRGY. LIBERT SURALLAH COTABATO",(083) 238-3027
267,LAS PINAS CITY MEDICAL CENTER,1314 MARCOS ALVAREZ AVENUE BRGY. TALON V LAS PIÃ‘AS CITY METRO MANILA,(02) 8806-2288/8800-5695
268,LAS PINAS DOCTORS HOSPITAL INC.,"8009 J. I. AGUILAR AVE., PULANG LUPA II  LAS PIÃ‘AS CITY METRO MANILA",(02) 8825-5236
269,"URO CENTRAL SPECIALISTS INC. (FORMERLY LITHOTRIPSY-ASSISTED STONE ERADICATION (LASER) CENTER, INC. UNIT)",G/F VRP MEDICAL CENTER 163 HIGHWAY HILLS MANDALUYONG CITY METRO MANILA,(02) 687-1006
270,"MANILA LITHOTRIPTERS, INC","G/F, CMC BLDG. QUEZON AVE. CORNER SCOUT MAGBANUA  QUEZON CITY METRO MANILA",(02) 8332-1939
271,LEON D. HERNANDEZ MEMORIAL CENTER,1328 DASMARINAS ST.  DAET CAMARINES NORTE,(054) 440-1416 / 571-2811
272,LEYTE BAPTIST CLINIC & HOSPITAL INC.,RV FULACHE ST.  HILONGOS LEYTE,(053) 567-9457/(053) 336-2105
273,LIFELINE MEDICAL AND ALLIED SERVICES INC.,379 LOPEZ JAENA STREET BRGY. JARO ILOILO CITY ILOILO,(033) 329-0945/(033) 320-0490
274,LIM COMMUNITY HOSPITAL,CANJULAO  JAGNA BOHOL,(038) 531-0155
275,LIPA MEDIX MEDICAL CENTER,"NATIONAL HIGHWAY, BALINTAWAK  LIPA CITY BATANGAS",(043) 756-2342/(043) 756-2372/(043) 756-3008/(043) 756-2477
276,LOPEZ ST. JUDEâ€™S GENERAL HOSPITAL,REAL ST.  LOPEZ QUEZON,(042) 841-1015
277,LORMA MEDICAL CENTER,CARLATAN  SAN FERNANDO LA UNION PROVINCE,(072) 888-2616/(072) 242-3621
278,LOS BAÃ‘OS DOCTORS HOSPITAL INC.,GROVE COLLEGE  LOS BAÃ‘OS LAGUNA,(049) 536-0100/(049) 536-1825/(049) 536-1225
279,LOYOLA INTERNATIONAL MULTI-SPECIALTY CLINIC,"2ND FLR. ELIZABETH HALL BLDG., KATIPUNAN AVE.  QUEZON CITY METRO MANILA",(02) 3435-5462/3433-5462
280,LUCENA UNITED DOCTORS HOSPITAL,MAHARLIKA HIGHWAY BRGY. ISABANG LUCENA CITY QUEZON,(042) 717-3114 / (042) 373-6161 TO 63
281,M/S DRUG TESTING CENTER,QUIRINO DRIVE  KIDAPAWAN CITY COTABATO,(064) 278-4739
282,MA. ESTRELLA GENERAL HOSPITAL,TAWIRAN  CALAPAN ORIENTAL MINDORO,(043) 286-7386 TO 88
283,MACTAN DOCTORS HOSPITAL INC.,M V PATALINGHUG AVENUE BASAK LAPU-LAPU CITY (OPON) CEBU,(032) 341-0000/(032) 340-8332
284,MACTAN MEDICAL AND DENTAL CENTER INC.,"2/F BLOCK C, MACTAN MARINA MALL  LAPU-LAPU CITY (OPON) CEBU",(032) 340-7693
285,MADONNA & CHILD HOSPITAL,J. SERINA ST. CARMEN  CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 858-3962/(088) 858-4105
286,METRO BALAYAN MEDICAL CENTER (FORMERLY MADONNA GENERAL HOSPITAL),NATIONAL HI-WAY BRGY CALOOCAN BALAYAN BATANGAS,(043) 211-6633/(043) 211-6556
287,"MADONNA MEDICAL CENTER, INC. (FORMERLY MADONNA GENERAL HOSPITAL, INC.)",QUEZON BLVD. BRGY. POBLACION KIDAPAWAN CITY COTABATO,(064) 572-6018
288,MADRID POLYCLINIC & DIAGNOSTIC CENTER INC.,10 15TH AVE. MURPHY CUBAO QUEZON CITY METRO MANILA,(02) 8912-1235; 7794-5942
289,MAHARLIKA CHARITY FOUNDATION INC.,J.P. CABAHUG CABAGUID AVENUE  DAVAO CITY DAVAO DEL SUR,(082) 221-6447/(082) 300-5979
290,MAHESECO HOSPITAL,LAKANDULA ST. POBLACION  MARIVELES BATAAN,(047) 935-6743
291,MAHOGANY DRUG TESTING CENTER,G/F ARANAS BLDG. A. PICHON STREET DAVAO CITY DAVAO CITY DAVAO DEL SUR,(082) 300-5603
292,MAKATI MEDICAL CENTER,2 AMORSOLO ST. LEGASPI VILLAGE MAKATI CITY METRO MANILA,(02)8888-8999 / 8815-9911
293,MAKILALA MEDICAL SPECIALISTS HOSPITAL INC.,POBACION  MAKILALA COTABATO,(064) 268-2018
294,MALAYBALAY MEDICAL HOSPITAL,FORTICH ST.  MALAYBALAY CITY BUKIDNON,(088) 221-2481
295,MALTA MEDICAL CENTER INC.,KM. 14 MCARTHUR HI-WAY BRGY. TORIL DAVAO CITY DAVAO DEL SUR,(082) 291-4188/(082) 301-9493
296,LEONARDO B. MANABAT SR. HOSPITAL INCORPORATED (FORMERLY MANABAT MATERNITY AND GENERAL HOSPITAL),"MC ARTHUR HIGHWAY, SAN MATIAS  SANTO TOMAS PAMPANGA",(045) 860-2705 / 961-3513
297,MANILA ADVENTIST MEDICAL CENTER,1975 CORNER SAN JUAN & DONADA ST.  PASAY CITY METRO MANILA,(02) 8525-9191 / 8525-9201
298,MANILA CENTRAL UNIVERSITY - FDTMF HOSPITAL (MCU HOSPITAL),SAMSON ROAD EDSA CALOOCAN CITY METRO MANILA,(02) 8361-4646/8367-2031 TO 45/8361-4664
299,MANILA DOCTORS HOSPITAL,"667 U N AVENUE, ERMITA  MANILA METRO MANILA",(02) 8558 0797 / 8558 0798 / 8558 0799
300,MANILA EAST MEDICAL CENTER INC.,"MANILA EAST ROAD, DOLORES  TAYTAY RIZAL",(02) 8660-0000/8661-2813
301,MANILA HEARING AID CENTER INC. (MANILA BRANCH),4/F MANILA ASTRAL TOWER TAFT AVE COR PADRE FAURA ERMITA MANILA METRO MANILA,(02) 521-5726
302,MANILA HEARING AID CENTER INC. (CEBU CITY BRANCH),"2ND LEVEL, SM CITY CEBU  CEBU CITY CEBU",(032) 231-8445
303,MANUEL J. SANTOS HOSPITAL,MONTILLA BOULEVARD  BUTUAN CITY AGUSAN DEL NORTE,(085) 225-5621/(085) 341-2222
304,MARAAT MEDICAL HOSPITAL,BALANGAY 6 POBLACION  QUEZON BUKIDNON,(088) 314-3533
305,MARAMAG MEDICLINIC HOSPITAL & LAB,"PUROK 2, SOUTH POBLACION  MARAMAG BUKIDNON",(088) 356-1558
306,"MARCELO HOSPITAL OF BALIWAG, INC.",237 PONCE ST. BRGY. POBLACION BALIUAG BULACAN,(044) 766-2517
307,MARCELO-PADILLA CHILDRENâ€™S AND MEDICAL HOSPITAL CORP,BANGA I  PLARIDEL BULACAN,(044) 795-0119/(044) 928-2122
308,MARIA REYNA XAVIER UNIVERSITY HOSPITAL,"T.J. HAYES ST., PINIKITAN  CAGAYAN DE ORO CITY MISAMIS ORIENTAL",(08822) 727-530
309,MARIAN HOSPITAL OF STA. ROSA,816-A RIZAL BLVD.  BRGY. TAGAPO SANTA ROSA CITY LAGUNA,(049) 502-9094/(02) 584-4483/(02) 584-4497
310,MARIKINA ST. VINCENT GENERAL HOSPITAL INC.,35 BAYAN-BAYANAN AVE. BRGY. CONCEPCION UNO MARIKINA CITY METRO MANILA,(02) 8942-2603 / 823-80000
311,MARTINEZ MEMORIAL HOSPITAL INC," ZONE 3, 32 A. MABINI ST, MAYPAJO MAYPAJO CALOOCAN CITY METRO MANILA",(02) 8288 4574
312,MARY JOHNSTON HOSPITAL,1221 NOLASCO ST. TONDO MANILA METRO MANILA,(02) 5318-6600
313,MARY MEDIATRIX MEDICAL CENTER,J.P. LAUREL HIGHWAY  LIPA CITY BATANGAS,(043) 784-9999/(043) 773-6800
